t_index  term         df      
494      appeal       95      
495      appear       196     
496      appel        1       
497      appetit      2       
498      appl         3       
499      applaud      10      
500      applaus      8       
501      appleton     2       
502      appli        18      
503      applic       16      
504      appoint      68      
505      appointe     3       
506      apprais      2       
507      appreci      16      
508      apprehend    4       
509      apprehens    2       
510      apprentic    3       
511      appris       1       
512      approach     49      
513      appropri     18      
514      approv       25      
515      approxim     12      
516      april        67      
517      aprista      4       
518      apron        1       
519      aquil        2       
520      ar           3       
521      arab         61      
522      arabi        1       
523      arabia       71      
524      arabian      44      
525      arafat       16      
526      arantxa      3       
527      arazi        7       
528      arbadi       1       
529      arbit        1       
530      arbitrari    2       
531      arbitrarili  1       
532      arc          1       
533      arch         2       
534      archaeolog   2       
535      archbishop   4       
536      archer       1       
537      archeri      4       
538      archetyp     1       
539      archi        5       
540      archibald    1       
541      architect    7       
542      architectur  4       
543      arctic       6       
544      ardent       4       
545      arduou       1       
546      are          3       
547      area         186     
548      arena        22      
549      aretz        1       
550      argentin     1       
551      argentina    10      
552      argu         45      
553      arguabl      2       
554      argument     18      
555      ari          1       
556      arid         5       
557      arif         1       
558      arisen       1       
559      arithmet     1       
560      aritomi      4       
561      ariz         8       
562      arizona      7       
563      ark          8       
564      arkadelphia  1       
565      arkan        1       
566      arkansa      28      
567      arkin        2       
568      arleigh      3       
569      arlen        2       
570      arlington    8       
571      arm          133     
572      armament     2       
573      armbrist     1       
574      armenia      2       
575      armey        1       
576      armi         136     
577      armitag      1       
578      armor        17      
579      armori       3       
580      arn          3       
581      arnaud       17      
582      arni         1       
583      arno         1       
584      arnold       3       
585      arnot        1       
586      aros         5       
587      around       191     
588      arous        1       
589      arraign      2       
590      arrang       38      
591      array        6       
592      arrear       1       
593      arrest       109     
594      arriv        180     
595      arrog        3       
596      arrow        4       
597      arsen        10      
598      arseni       1       
599      arsonist     1       
600      art          11      
601      arthriti     1       
602      arthur       4       
603      articl       5       
604      articul      1       
605      artifact     1       
606      artifici     4       
607      artist       4       
608      artudo       1       
609      arturo       6       
610      aruba        2       
611      aryapov      1       
612      asa          1       
613      asahi        1       
614      ascend       1       
615      ascrib       4       
616      asean        1       
617      ash          5       
618      asham        1       
619      ashcroft     56      
620      ashkroft     1       
621      ashok        1       
622      ashor        2       
623      ashraf       1       
624      ashtray      1       
625      asia         32      
626      asian        15      
627      asid         30      
628      ask          196     
629      aspect       11      
630      aspir        2       
631      assad        1       
632      assail       4       
633      assam        6       
634      assassin     21      
635      assault      28      
636      assembl      19      
637      assert       17      
638      assess       48      
639      asset        10      
640      assign       24      
641      assist       76      
642      associ       119     
643      assort       1       
644      assum        38      
645      assumpt      7       
646      assur        35      
647      assuredli    2       
648      astakhov     12      
649      asterisk     2       
650      astonish     7       
651      astound      2       
652      astronom     1       
653      astut        1       
654      asylum       29      
655      asymmetr     2       
656      at           1       
657      atal         13      
658      atck         2       
659      ate          4       
660      atf          2       
661      atfein       1       
662      ath          1       
663      athal        1       
664      athlet       3       
665      atlant       15      
666      atlanta      6       
667      atmat        1       
668      atmospher    10      
669      atom         4       
670      atop         13      
671      atp          3       
672      atroc        10      
673      atrophi      1       
674      attach       15      
675      attack       306     
676      attain       1       
677      attar        1       
678      attempt      112     
679      attend       68      
680      attent       64      
681      attest       2       
682      attitud      10      
683      attorney     58      
684      attract      15      
685      attribut     12      
686      attrit       1       
687      atwan        1       
688      aubrey       19      
689      aubri        5       
690      audienc      16      
691      audio        4       
692      audiotap     1       
693      auditor      5       
694      auditorium   1       
695      aug          33      
696      augment      1       
697      august       32      
698      aunt         2       
699      aur          5       
700      aura         1       
701      aurora       4       
702      ausi         1       
703      aussi        9       
704      auster       2       
705      austin       18      
706      australia    23      
707      australian   72      
708      austria      3       
709      austrian     1       
710      austro       1       
711      authent      2       
712      author       255     
713      authoritarian 27      
714      auto         1       
715      autocrat     27      
716      autograph    1       
717      autom        1       
718      automat      18      
719      automobil    4       
720      autonom      1       
721      autonomi     3       
722      autopilot    1       
723      autopsi      1       
724      autumn       2       
725      avail        44      
726      avala        1       
727      avalanch     1       
728      ave          1       
729      aveng        7       
730      avent        1       
731      avenu        4       
732      averag       14      
733      avert        6       
734      aviat        3       
735      aviv         4       
736      avner        2       
737      avoid        59      
738      avow         1       
739      aw           10      
740      awad         2       
741      await        27      
742      awaken       2       
743      awar         18      
744      award        9       
745      away         167     
746      awe          4       
747      aweigh       1       
748      awkward      4       
749      awn          4       
750      awok         1       
751      axam         1       
752      axe          1       
753      ay           2       
754      ayatollah    1       
755      aykroyd      1       
756      ayman        5       
757      aynaoui      1       
758      ayr          1       
759      ayyam        2       
760      az           1       
761      aziz         1       
762      azul         1       
763      azulay       2       
764      ba           2       
765      babenko      2       
766      babi         14      
767      babkin       6       
768      baboa        1       
769      back         380     
770      backa        1       
771      backbo       1       
772      backcourt    1       
773      backdrop     4       
774      backer       14      
775      backfir      5       
776      background   4       
777      backhand     14      
778      backho       1       
779      backlash     3       
780      backstop     2       
781      backup       2       
782      backward     3       
783      backyard     1       
784      bacon        18      
785      bad          39      
786      badawi       1       
787      badg         3       
788      badli        39      
789      badrasen     5       
790      baffl        2       
791      bag          14      
792      bagad        1       
793      baggag       1       
794      baghbel      1       
795      baghdad      2       
796      bahg         5       
797      bahrain      35      
798      bai          1       
799      baijubahi    2       
800      bail         4       
801      bailey       6       
802      baird        1       
803      bairnt       1       
804      bait         1       
805      bakarec      3       
806      bake         2       
807      baken        1       
808      baker        5       
809      bakhshish    1       
810      bakri        5       
811      balanc       21      
812      balawat      1       
813      balcacer     2       
814      balconi      11      
815      bald         1       
816      balint       1       
817      balk         4       
818      balkan       25      
819      ball         30      
820      ballard      1       
821      ballast      2       
822      ballena      1       
823      ballist      2       
824      ballo        1       
825      balloon      3       
826      ballot       72      
827      ballroom     2       
828      balonia      1       
829      balsamo      1       
830      baltimor     3       
831      baltin       1       
832      bamba        3       
833      bambi        1       
834      bamboo       4       
835      bament       1       
836      ban          24      
837      banco        1       
838      band         11      
839      bandag       8       
840      bandanna     3       
841      bandit       1       
842      bang         7       
843      bangalor     1       
844      bangaru      3       
845      bangladesh   5       
846      bank         69      
847      banker       10      
848      bankrupt     5       
849      bankruptci   4       
850      banner       9       
851      bannon       1       
852      banquet      1       
853      baptist      6       
854      bar          54      
855      barak        9       
856      barb         4       
857      barbar       2       
858      barbara      24      
859      barber       1       
860      barbershop   1       
861      barcelona    1       
862      bare         46      
863      barefacedli  1       
864      barent       36      
865      barg         3       
866      bargain      9       
867      bari         1       
868      bark         1       
869      barkina      2       
870      barkolla     1       
871      barkova      3       
872      barna        4       
873      barney       1       
874      barnstorm    1       
875      barot        1       
876      barov        1       
877      barr         2       
878      barrack      35      
879      barrag       2       
880      barrel       2       
881      barrera      2       
882      barri        1       
883      barricad     18      
884      barrier      12      
885      bartlett     1       
886      barua        5       
887      base         188     
888      basebal      5       
889      baselin      16      
890      basement     1       
891      basher       1       
892      bashraheel   1       
893      bashrahel    1       
894      basi         15      
895      basic        43      
896      basilica     1       
897      bask         2       
898      basket       3       
899      basketbal    1       
900      basset       1       
901      bassiouni    1       
902      bastion      6       
903      batch        1       
904      bath         4       
905      bathroom     3       
906      bathtub      1       
907      batic        2       
908      baton        4       
909      battalion    3       
910      batten       1       
911      batter       8       
912      batteri      2       
913      battl        78      
914      battlefield  4       
915      battleground 8       
916      bauman       6       
917      bautista     1       
918      bavaria      1       
919      bay          7       
920      bazaar       1       
921      bbc          29      
922      be           3       
923      beach        17      
924      beachfront   1       
925      bead         1       
926      beal         1       
927      beam         14      
928      bean         3       
929      bear         23      
930      beard        20      
931      bearer       2       
932      beat         79      
933      beaten       31      
934      beater       3       
935      beaumont     1       
936      beauti       6       
937      beaver       1       
938      becam        104     
939      becausec     1       
940      beci         2       
941      becker       1       
942      becom        115     
943      bed          35      
944      bedanova     2       
945      bedi         12      
946      bedouin      1       
947      bedroom      6       
948      bedsheet     1       
949      beef         6       
950      beer         2       
951      befit        1       
952      befriend     1       
953      befuddl      1       
954      beg          4       
955      began        156     
956      beggar       1       
957      begin        151     
958      begun        31      
959      behalf       8       
960      behan        1       
961      behari       3       
962      behav        9       
963      behavior     11      
964      behind       155     
965      beholden     3       
966      beij         3       
967      beirut       9       
968      bekki        3       
969      belaru       1       
970      belch        1       
971      beleagu      3       
972      belgian      5       
973      belgium      6       
974      belgrad      100     
975      beli         1       
976      belida       3       
977      belief       17      
978      believ       292     
979      belittl      1       
980      bell         4       
981      belliger     1       
982      belong       31      
983      belov        5       
984      belt         8       
985      bema         2       
986      bemoan       1       
987      ben          5       
988      bench        4       
989      benchmark    1       
990      bend         2       
991      beneath      31      
992      benefactor   2       
993      benefici     1       
994      beneficiari  1       
995      benefit      17      
996      benevol      7       
997      benign       1       
998      benin        8       
999      benito       1       
1000     benjamin     2       
1001     bennett      1       
1002     benni        1       
1003     bent         13      
1004     benton       1       
1005     bequeath     1       
1006     berat        1       
1007     bere         1       
1008     beresich     1       
1009     beretta      1       
1010     bergen       1       
1011     berger       25      
1012     berlin       8       
1013     bernstein    2       
1014     bershard     1       
1015     bershevski   1       
1016     berth        2       
1017     beschloss    1       
1018     beset        2       
1019     besid        27      
1020     besieg       4       
1021     bespectacl   2       
1022     best         101     
1023     bet          5       
1024     beta         8       
1025     beth         1       
1026     betray       4       
1027     betrisia     1       
1028     better       119     
1029     bevan        1       
1030     beveneari    1       
1031     bewild       1       
1032     beyond       37      
1033     bhaba        2       
1034     bhachau      4       
1035     bhagat       1       
1036     bhakta       1       
1037     bharatiya    3       
1038     bharpi       3       
1039     bhaskar      5       
1040     bhat         1       
1041     bhatt        1       
1042     bhavesh      1       
1043     bhowmik      1       
1044     bhug         1       
1045     bhuj         33      
1046     bia          1       
1047     biafran      2       
1048     biarritz     3       
1049     bias         8       
1050     bibl         4       
1051     biblic       1       
1052     bicker       3       
1053     bicycl       5       
1054     bid          50      
1055     bidanora     1       
1056     big          76      
1057     bigger       8       
1058     biggest      39      
1059     bigot        1       
1060     bihari       10      
1061     bilater      8       
1062     bilingu      1       
1063     bill         68      
1064     billboard    2       
1065     billet       1       
1066     billi        4       
1067     billion      59      
1068     billionair   9       
1069     billow       13      
1070     biltera      1       
1071     bimal        2       
1072     bin          87      
1073     bind         5       
1074     bindra       3       
1075     bingaman     2       
1076     bingo        1       
1077     binocular    5       
1078     bio          1       
1079     biogeneticist 1       
1080     biograph     3       
1081     biographi    4       
1082     biolog       4       
1083     bion         1       
1084     bipartisan   2       
1085     bipartisanship 1       
1086     bird         3       
1087     birger       1       
1088     birth        9       
1089     birthday     6       
1090     birthmark    1       
1091     birthplac    1       
1092     biscuit      3       
1093     bishop       2       
1094     bit          46      
1095     bite         2       
1096     biter        1       
1097     bitka        1       
1098     bitten       1       
1099     bitter       20      
1100     bitterli     10      
1101     bittersweet  2       
1102     biw          1       
1103     bizarr       10      
1104     bjorn        1       
1105     black        58      
1106     blacken      4       
1107     blackmail    5       
1108     blackout     4       
1109     blade        1       
1110     blair        15      
1111     blakemor     1       
1112     blame        56      
1113     blanchard    1       
1114     blanco       7       
1115     bland        1       
1116     blanda       1       
1117     blank        3       
1118     blanket      35      
1119     blankli      2       
1120     blare        1       
1121     blast        109     
1122     blatant      2       
1123     blaze        6       
1124     bleach       1       
1125     bleacher     1       
1126     bleak        1       
1127     bled         1       
1128     bleed        2       
1129     blemish      1       
1130     blend        4       
1131     bless        9       
1132     blew         42      
1133     blind        8       
1134     blindli      5       
1135     blink        3       
1136     blister      2       
1137     blitz        1       
1138     blitzer      1       
1139     blizzard     5       
1140     bloat        4       
1141     bloc         7       
1142     block        83      
1143     blockad      15      
1144     blocker      1       
1145     blocki       1       
1146     blokosso     1       
1147     blond        6       
1148     blood        34      
1149     bloodbath    2       
1150     bloodi       8       
1151     bloodiest    1       
1152     bloodless    2       
1153     bloodsh      9       
1154     bloodstain   1       
1155     bloomberg    1       
1156     bloomer      1       
1157     blous        1       
1158     blow         25      
1159     blown        11      
1160     blowtorch    1       
1161     blue         46      
1162     blueprint    11      
1163     bluf         5       
1164     blunk        1       
1165     blunt        2       
1166     bluntli      2       
1167     blur         2       
1168     blurb        1       
1169     blusteri     1       
1170     blvd         1       
1171     bnaibrith    1       
1172     bo           5       
1173     board        63      
1174     boarder      5       
1175     boardwalk    1       
1176     boast        3       
1177     boat         117     
1178     boater       1       
1179     boatmen      1       
1180     bob          24      
1181     bobbi        6       
1182     bobic        1       
1183     bodi         188     
1184     bodien       1       
1185     bodin        9       
1186     bodon        1       
1187     bodyguard    10      
1188     boe          2       
1189     bog          2       
1190     boga         1       
1191     bogg         1       
1192     bogu         4       
1193     bohdan       2       
1194     boigni       6       
1195     boil         1       
1196     boister      1       
1197     bojic        1       
1198     bold         3       
1199     boldli       1       
1200     bolivia      1       
1201     bolona       2       
1202     bolster      12      
1203     bolt         1       
1204     bomb         259     
1205     bombard      2       
1206     bombay       5       
1207     bomber       57      
1208     bombet       2       
1209     bombey       1       
1210     bombmak      4       
1211     bombshel     1       
1212     bond         17      
1213     bondjump     1       
1214     bone         53      
1215     bonecardi    1       
1216     bonfir       3       
1217     bonilla      1       
1218     bonni        1       
1219     bono         1       
1220     bonu         1       
1221     boo          3       
1222     boobi        3       
1223     book         26      
1224     bookend      1       
1225     boom         7       
1226     boost        14      
1227     booster      1       
1228     boot         5       
1229     booth        8       
1230     bor          1       
1231     border       53      
1232     bore         3       
1233     borg         1       
1234     bori         7       
1235     borisav      1       
1236     borislav     3       
1237     borisov      1       
1238     borivoj      1       
1239     bork         1       
1240     borka        1       
1241     born         47      
1242     borneo       4       
1243     borotra      1       
1244     borrow       2       
1245     borzon       1       
1246     bosnia       16      
1247     bosnian      5       
1248     boss         10      
1249     boston       18      
1250     botch        5       
1251     bother       9       
1252     bottl        5       
1253     bottom       28      
1254     bouak        1       
1255     boucher      8       
1256     bouffard     1       
1257     bought       10      
1258     boulevard    1       
1259     bounc        7       
1260     bound        15      
1261     boundari     2       
1262     bounti       1       
1263     bout         5       
1264     bow          11      
1265     bowel        2       
1266     bowen        2       
1267     bowl         1       
1268     bowman       1       
1269     bowmen       1       
1270     bowrey       1       
1271     box          17      
1272     boxer        1       
1273     boy          35      
1274     boycot       26      
1275     boycott      18      
1276     boyd         1       
1277     boyfriend    4       
1278     bozov        3       
1279     braca        2       
1280     brace        4       
1281     braci        1       
1282     bracket      1       
1283     brad         6       
1284     bradi        1       
1285     bradman      1       
1286     bradshaw     1       
1287     brag         4       
1288     brain        2       
1289     brainwash    3       
1290     brake        1       
1291     branch       9       
1292     brand        6       
1293     brandish     6       
1294     brandon      1       
1295     brash        2       
1296     brass        4       
1297     brave        6       
1298     bravent      1       
1299     braveri      2       
1300     bravo        4       
1301     brazen       1       
1302     brazil       2       
1303     brazilian    1       
1304     breach       3       
1305     bread        1       
1306     breadbasket  2       
1307     break        111     
1308     breakaway    2       
1309     breakdown    3       
1310     breaker      1       
1311     breakfast    6       
1312     breakout     9       
1313     breakthrough 12      
1314     breakup      3       
1315     breast       4       
1316     breath       6       
1317     breaux       1       
1318     breed        5       
1319     breez        6       
1320     breme        1       
1321     bremer       1       
1322     brenton      2       
1323     brevant      1       
1324     brew         3       
1325     brewer       1       
1326     brian        15      
1327     bribe        40      
1328     briberi      10      
1329     brick        12      
1330     bride        1       
1331     bridg        19      
1332     bridgett     1       
1333     brie         6       
1334     brief        63      
1335     briefli      24      
1336     brien        1       
1337     brig         1       
1338     brigad       3       
1339     bright       11      
1340     brighten     2       
1341     brighter     1       
1342     brightest    2       
1343     brightli     1       
1344     brilliant    3       
1345     brim         1       
1346     bring        126     
1347     brink        6       
1348     brisk        1       
1349     briskli      3       
1350     bristl       3       
1351     britain      37      
1352     british      56      
1353     briton       3       
1354     broad        14      
1355     broadcast    59      
1356     broaden      2       
1357     broader      9       
1358     broadli      3       
1359     broder       1       
1360     brokaw       1       
1361     broke        91      
1362     broken       49      
1363     broker       7       
1364     brokerag     1       
1365     bronco       1       
1366     bronxvil     1       
1367     bronz        2       
1368     brood        1       
1369     brook        3       
1370     brooklyn     1       
1371     broom        1       
1372     brother      73      
1373     brought      116     
1374     brow         2       
1375     brown        18      
1376     broz         1       
1377     bruce        1       
1378     bruis        7       
1379     brunei       22      
1380     brunswick    1       
1381     brunt        4       
1382     brush        7       
1383     brussel      6       
1384     brutal       16      
1385     bryan        4       
1386     bryann       1       
1387     bryant       1       
1388     bt           1       
1389     bu           18      
1390     bubbl        2       
1391     buccan       1       
1392     buchanan     7       
1393     buck         9       
1394     bucket       4       
1395     buckl        13      
1396     bud          3       
1397     budapest     1       
1398     buddhist     1       
1399     buddi        1       
1400     budget       9       
1401     budnev       1       
1402     budor        1       
1403     budsmen      1       
1404     budva        1       
1405     bueni        1       
1406     buf          4       
