t_index  tf-idf  
68       0.05247208225914908
210      0.04012780635400542
344      0.020018078667969143
862      0.07636004196512203
957      0.047726523425037436
974      0.28826986983032116
1028     0.0534635531655535
1108     0.13519457629113182
1522     0.026072078014986316
1546     0.029785466543452984
1630     0.045013608694306304
1740     0.04886996109956845
1899     0.06956124737638689
1969     0.03472916142127421
1997     0.08510219671068506
2076     0.09642427512859804
2078     0.06835494595340175
2184     0.08033670461723523
2900     0.09524895215154856
3007     0.10501634002703239
3175     0.07533480883520122
3299     0.06523514889816658
3359     0.03024432503678845
3361     0.07855149229139963
3454     0.07249749294438246
3518     0.06046119698284378
3587     0.06878410441591579
4045     0.052797879561210376
4102     0.03346100849298687
4185     0.0797268152684491
4317     0.07517948160517646
4352     0.09524895215154856
4353     0.03250942061313593
4378     0.04515657257110178
4567     0.06302935540830018
4672     0.04559062652213682
4787     0.06156894812726806
4792     0.07798465807925055
4969     0.038226500586436694
4988     0.08665688725311418
4998     0.03225629034141046
5002     0.031757872371033925
5048     0.05326196753281635
5246     0.05838771624852871
5523     0.10680155235286799
5599     0.14774880310833818
5649     0.08160485754552256
5701     0.05522757177598019
5753     0.05114919776380993
5971     0.07294777413923467
6008     0.018548760958673537
6057     0.03110896195500219
6068     0.041566403454701424
6150     0.05060375538552882
6199     0.08831888016688347
6350     0.22165155084060678
6412     0.06657034619047159
6438     0.039781191128865835
6486     0.07036429982312627
6586     0.03390629552537989
6796     0.3036225323131729
6809     0.07584197162091162
6954     0.03363813680968229
7180     0.09642427512859804
7202     0.13532693564904338
7263     0.02419890604339206
7273     0.02733847611955876
7415     0.07064100640087624
7541     0.01425196944201724
7564     0.21223525950306885
7592     0.05326196753281635
7627     0.07294777413923467
7955     0.039433915930779655
7989     0.054923960446585623
8159     0.04231925668028302
8199     0.12542718841564798
8255     0.0288931666619879
8327     0.01650027450919141
8329     0.03855130563124017
8332     0.1298147953707473
8450     0.05133379133018527
8513     0.09642427512859804
8559     0.03932666174732847
8605     0.13113484191943475
8635     0.05208664455576686
8722     0.06490739768537365
8839     0.13680947370107227
8969     0.09765989686688319
9088     0.1184971164309829
9143     0.10033924928980185
9448     0.029548721954144094
9623     0.07162142030673455
9639     0.07435143382621316
9640     0.12257439643820324
9838     0.1184971164309829
9846     0.08919495280453138
9870     0.08364178942965293
9991     0.10417328911153372
10242    0.07294777413923467
10330    0.05306205482917709
10369    0.05024686970935508
10415    0.09104889368636208
10428    0.12542718841564798
10481    0.24514879287640648
10506    0.06556742095971738
10651    0.05741427703779893
10808    0.1298191948488959
10988    0.04694178489693737
10995    0.05706182816628788
11005    0.0662460388644986
11044    0.05766991986687868
11102    0.15826397293131764
11109    0.05670917277242122
11225    0.029335185348600763
11327    0.015101555719068658
11775    0.05670917277242122
11914    0.057896079949037844
11966    0.057896079949037844
11994    0.1184971164309829
12013    0.025494675984051533
12028    0.03577462239900015
12071    0.04515657257110178
12105    0.05812739507660122
12185    0.059662582104973105
12187    0.11823709548737849
12190    0.04937712388527885
12203    0.07340663263257015
12274    0.015391542708025115
12314    0.05151981034361778
